Donor,variable,total_donor_ha,iso3
Armenia,2006,0.078838191,ARM
Armenia,2007,0.004594404,ARM
Armenia,2009,0.003306266,ARM
Armenia,2010,0.106610917,ARM
Armenia,2011,0.004853069,ARM
Armenia,2012,0.095342159,ARM
Armenia,2013,0.004903368,ARM
Armenia,2014,0.004866259,ARM
Armenia,2015,0.10285305,ARM
Armenia,2016,0.005542332,ARM
Armenia,2017,0.005451867,ARM
Armenia,2018,0.005308015,ARM
Armenia,2019,0.005226039,ARM
Armenia,2020,0.005213998,ARM
Australia,2000,201.39,AUS
Australia,2001,154.2534524,AUS
Australia,2002,249.02,AUS
Australia,2003,284.98,AUS
Australia,2004,280.61,AUS
Australia,2005,430.42,AUS
Australia,2006,285.18,AUS
Australia,2007,194.0599422,AUS
Australia,2008,365.3302518,AUS
Australia,2009,408.8059148,AUS
Australia,2010,374.8463358,AUS
Australia,2011,440.9905592,AUS
Australia,2012,395.7518015,AUS
Australia,2013,305.7814168,AUS
Australia,2014,341.3048347,AUS
Australia,2015,351.493246,AUS
Australia,2016,246.2455646,AUS
Australia,2017,276.2136511,AUS
Australia,2018,252.9822022,AUS
Australia,2019,291.0961164,AUS
Australia,2020,302.2431735,AUS
Australia,2021,375.9784359,AUS
Australia,2022,434.963316,AUS
Austria,2000,76.77187637,AUT
Austria,2001,72.3185423,AUT
Austria,2002,73.72213834,AUT
Austria,2003,82.87444294,AUT
Austria,2004,108.8321894,AUT
Austria,2005,152.8030778,AUT
Austria,2006,67.6333403,AUT
Austria,2007,59.37258925,AUT
Austria,2008,95.57987097,AUT
Austria,2009,80.66415589,AUT
Austria,2010,74.86042416,AUT
Austria,2011,71.2678023,AUT
Austria,2012,69.21088879,AUT
Austria,2013,70.2262627,AUT
Austria,2014,80.70540274,AUT
Austria,2015,79.48662294,AUT
Austria,2016,130.6406568,AUT
Austria,2017,145.4616977,AUT
Austria,2018,100.6877986,AUT
Austria,2019,120.2913899,AUT
Austria,2020,157.6422541,AUT
Austria,2021,203.052248,AUT
Austria,2022,241.1886679,AUT
Azerbaijan,2005,2.762204595,AZE
Azerbaijan,2006,1.618927059,AZE
Azerbaijan,2007,0.080668413,AZE
Azerbaijan,2008,0.483973935,AZE
Azerbaijan,2009,0.008092846,AZE
Azerbaijan,2010,2.391171419,AZE
Azerbaijan,2011,0.792984576,AZE
Azerbaijan,2012,0.711643079,AZE
Azerbaijan,2013,0.237641489,AZE
Azerbaijan,2014,0.444923331,AZE
Azerbaijan,2015,2.335281484,AZE
Azerbaijan,2017,0.180141038,AZE
Azerbaijan,2018,0.111808708,AZE
Azerbaijan,2019,0.358607953,AZE
Azerbaijan,2020,12.14376221,AZE
Azerbaijan,2021,0.113335,AZE
Azerbaijan,2022,0.040413389,AZE
Bahamas,2000,0,BHS
Bahamas,2002,0.006771804,BHS
Bahamas,2007,0.058356823,BHS
Bahamas,2009,0.03009631,BHS
Bahamas,2010,0.014582252,BHS
Bahrain,2005,0,BHR
Bahrain,2006,7.109127765,BHR
Bahrain,2010,5.394041853,BHR
Bahrain,2013,7.507878541,BHR
Bahrain,2014,10.72403683,BHR
Bahrain,2015,1.094598687,BHR
Bangladesh,2001,0,BGD
Bangladesh,2005,0.188861771,BGD
Bangladesh,2006,0.009674318,BGD
Bangladesh,2008,0.008605631,BGD
Bangladesh,2010,3.041867591,BGD
Bangladesh,2011,0.014474692,BGD
Bangladesh,2012,0.050568436,BGD
Bangladesh,2015,0.994858456,BGD
Bangladesh,2018,0.032278839,BGD
Bangladesh,2020,0.020821211,BGD
Bangladesh,2022,0.024222595,BGD
Barbados,2009,0.001233424,BRB
Barbados,2010,0,BRB
Barbados,2015,0,BRB
Barbados,2016,0,BRB
Belarus,2000,0.233094769,BLR
Belarus,2001,0.414692772,BLR
Belarus,2002,0.374214901,BLR
Belarus,2003,0.065038047,BLR
Belarus,2004,0.507422449,BLR
Belarus,2005,0.577230855,BLR
Belarus,2006,0.174855848,BLR
Belarus,2007,0.093354709,BLR
Belarus,2008,0.552748355,BLR
Belarus,2009,1.207580306,BLR
Belarus,2010,1.520396037,BLR
Belarus,2011,0.535660482,BLR
Belarus,2012,1.174802624,BLR
Belarus,2013,0.488661973,BLR
Belarus,2014,0.568437563,BLR
Belarus,2015,1.163678968,BLR
Belarus,2016,1.446623447,BLR
Belarus,2017,0.394809908,BLR
Belarus,2018,0.286113816,BLR
Belarus,2020,0.618316911,BLR
Belarus,2021,0.42531,BLR
Belgium,2000,92.18049379,BEL
Belgium,2001,99.34946121,BEL
Belgium,2002,95.97345217,BEL
Belgium,2003,209.4867946,BEL
Belgium,2004,180.9518124,BEL
Belgium,2005,220.2451595,BEL
Belgium,2006,179.051627,BEL
Belgium,2007,172.0384699,BEL
Belgium,2008,223.1281231,BEL
Belgium,2009,210.1633114,BEL
Belgium,2010,241.4178918,BEL
Belgium,2011,287.2644406,BEL
Belgium,2012,193.8219909,BEL
Belgium,2013,264.4563558,BEL
Belgium,2014,210.5152468,BEL
Belgium,2015,286.4203645,BEL
Belgium,2016,468.4617698,BEL
Belgium,2017,361.2223594,BEL
Belgium,2018,350.0978973,BEL
Belgium,2019,333.1351228,BEL
Belgium,2020,394.3965202,BEL
Belgium,2021,377.287409,BEL
Belgium,2022,397.5678038,BEL
Belize,2009,0,BLZ
Belize,2020,0.011589095,BLZ
Benin,2008,0.001540358,BEN
Benin,2010,0.160875804,BEN
Bhutan,2007,0.001582842,BTN
Bhutan,2009,0.001782158,BTN
Bhutan,2010,0.001673634,BTN
Bhutan,2011,0.00151765,BTN
Bhutan,2013,0.001545991,BTN
Bhutan,2015,1.058343427,BTN
Bhutan,2017,0.001560024,BTN
Bhutan,2018,0.003063576,BTN
Bhutan,2020,0.001565162,BTN
Bhutan,2021,0.002907136,BTN
"Bolivia, Plurinational State of",2005,0,BOL
"Bolivia, Plurinational State of",2007,0,BOL
"Bolivia, Plurinational State of",2010,0,BOL
"Bolivia, Plurinational State of",2015,1.042089743,BOL
"Bolivia, Plurinational State of",2017,0,BOL
Bosnia and Herzegovina,2007,0.00493878,BIH
Bosnia and Herzegovina,2009,0.08270001,BIH
Bosnia and Herzegovina,2010,0.079405382,BIH
Bosnia and Herzegovina,2018,0.034438155,BIH
Botswana,2000,0.762195386,BWA
Botswana,2003,0.263200135,BWA
Botswana,2007,0.068406576,BWA
Botswana,2008,0.436934675,BWA
Botswana,2009,0.329374267,BWA
Botswana,2010,0.221976893,BWA
Botswana,2011,0.08580513,BWA
Botswana,2012,0.093074289,BWA
Botswana,2013,0,BWA
Botswana,2014,0.055907951,BWA
Botswana,2016,0.051397384,BWA
Botswana,2017,0.10023121,BWA
Brazil,2000,0.318135507,BRA
Brazil,2001,0,BRA
Brazil,2004,0,BRA
Brazil,2005,1.787091015,BRA
Brazil,2006,0,BRA
Brazil,2007,0.164485363,BRA
Brazil,2008,1.293764196,BRA
Brazil,2009,2.812952729,BRA
Brazil,2010,19.84405136,BRA
Brazil,2011,30.14814832,BRA
Brazil,2012,16.48559775,BRA
Brazil,2013,1.277118119,BRA
Brazil,2014,10.34239116,BRA
Brazil,2015,6.214987581,BRA
Brazil,2016,2.587060869,BRA
Brazil,2017,2.500988156,BRA
Brazil,2019,3.28353478,BRA
Brazil,2020,0.029391902,BRA
Brazil,2021,0.121951,BRA
Brazil,2022,0.196286232,BRA
Brunei Darussalam,2002,0.8633159,BRN
Brunei Darussalam,2007,0.05133815,BRN
Brunei Darussalam,2008,0.942405043,BRN
Brunei Darussalam,2009,0.273585875,BRN
Brunei Darussalam,2010,0.091354308,BRN
Brunei Darussalam,2011,0.047306644,BRN
Brunei Darussalam,2012,0.118702811,BRN
Brunei Darussalam,2014,0.885087048,BRN
Brunei Darussalam,2021,0.1,BRN
Brunei Darussalam,2022,0.053626268,BRN
Bulgaria,2000,0,BGR
Bulgaria,2001,0,BGR
Bulgaria,2002,0,BGR
Bulgaria,2003,0.160106331,BGR
Bulgaria,2004,0,BGR
Bulgaria,2005,0.431867538,BGR
Bulgaria,2006,0.014419659,BGR
Bulgaria,2007,0.006241051,BGR
Bulgaria,2008,0.892409113,BGR
Bulgaria,2009,0.215685705,BGR
Bulgaria,2010,0.62437347,BGR
Bulgaria,2011,0.352541296,BGR
Bulgaria,2012,0.397189209,BGR
Bulgaria,2013,0.429524582,BGR
Bulgaria,2014,0.445974023,BGR
Bulgaria,2015,0.609770876,BGR
Bulgaria,2016,6.226545687,BGR
Bulgaria,2017,2.016098625,BGR
Bulgaria,2018,1.85689177,BGR
Bulgaria,2019,0.704509169,BGR
Bulgaria,2020,1.913715957,BGR
Bulgaria,2021,0.681587174,BGR
Bulgaria,2022,0.731959552,BGR
Burkina Faso,2008,0.533076318,BFA
Burkina Faso,2010,0.209560019,BFA
Burundi,2000,0.043759271,BDI
Burundi,2010,0.217604158,BDI
Cambodia,2005,0.016318951,KHM
Cambodia,2008,0.400549812,KHM
Cambodia,2009,0.001999994,KHM
Cambodia,2010,0.075697833,KHM
Cambodia,2020,0.020280338,KHM
Cambodia,2021,0.029285449,KHM
Cameroon,2003,0.06012756,CMR
Canada,2000,403.394732,CAN
Canada,2001,427.1984415,CAN
Canada,2002,390.7419787,CAN
Canada,2003,434.6681146,CAN
Canada,2004,466.3482844,CAN
Canada,2005,487.0890514,CAN
Canada,2006,311.0046639,CAN
Canada,2007,345.7009818,CAN
Canada,2008,429.7349001,CAN
Canada,2009,403.515995,CAN
Canada,2010,555.2544281,CAN
Canada,2011,493.3551045,CAN
Canada,2012,512.0519646,CAN
Canada,2013,632.2270138,CAN
Canada,2014,728.3786966,CAN
Canada,2015,877.1465495,CAN
Canada,2016,693.8004371,CAN
Canada,2017,850.5111103,CAN
Canada,2018,857.431779,CAN
Canada,2019,767.910634,CAN
Canada,2020,795.0614706,CAN
Canada,2021,892.3947317,CAN
Canada,2022,1125.414622,CAN
Central African Republic,2010,0.274369542,CAF
Chad,2010,0.464829397,TCD
Chile,2000,0.046755147,CHL
Chile,2001,0.045796373,CHL
Chile,2002,0.03434728,CHL
Chile,2003,0.033041694,CHL
Chile,2004,0,CHL
Chile,2005,0.038881739,CHL
Chile,2006,0,CHL
Chile,2007,0.159640397,CHL
Chile,2008,0.01227349,CHL
Chile,2009,0.396672298,CHL
Chile,2010,0.042518361,CHL
Chile,2011,0.19260047,CHL
Chile,2012,0.04367567,CHL
Chile,2013,0.116357396,CHL
Chile,2014,1.062679393,CHL
Chile,2015,0.149780716,CHL
Chile,2016,0.091242432,CHL
Chile,2017,0.072977886,CHL
Chile,2018,0.056783652,CHL
Chile,2019,0.032534925,CHL
China,2000,15.429867,CHN
China,2001,2.187901741,CHN
China,2002,0.328408859,CHN
China,2003,4.986053872,CHN
China,2004,107.4788315,CHN
China,2005,38.72327441,CHN
China,2006,2.208769023,CHN
China,2007,13.13124117,CHN
China,2008,13.32902512,CHN
China,2009,1.590548608,CHN
China,2010,53.46594207,CHN
China,2011,107.8655046,CHN
China,2012,31.58330899,CHN
China,2013,8.016077893,CHN
China,2014,57.22847974,CHN
China,2015,41.05806668,CHN
China,2016,25.78561916,CHN
China,2017,146.4624061,CHN
China,2018,28.14219779,CHN
China,2019,19.00713187,CHN
China,2020,48.21428674,CHN
China,2021,9.862346,CHN
China,2022,2.076110725,CHN
Colombia,2000,0,COL
Colombia,2001,0,COL
Colombia,2004,0.146585483,COL
Colombia,2005,0,COL
Colombia,2006,0,COL
Colombia,2007,0.019724756,COL
Colombia,2008,0,COL
Colombia,2009,0.178964206,COL
Colombia,2010,0.114824128,COL
Colombia,2011,0.007088406,COL
Colombia,2012,0.066559053,COL
Colombia,2013,0.549874682,COL
Colombia,2014,0.284403467,COL
Colombia,2015,0.223458187,COL
Colombia,2017,0.113421021,COL
Colombia,2018,0.153770177,COL
Colombia,2019,0.242488784,COL
Colombia,2020,0.036768411,COL
Colombia,2022,1.120498103,COL
Congo,2009,0.003146874,COG
Congo,2010,1.131855323,COG
Congo,2011,0.511488937,COG
"Congo, The Democratic Republic of the",2010,3.564347757,COD
Cook Islands,2003,0.018604785,COK
Costa Rica,2001,0,CRI
Costa Rica,2009,0.039529256,CRI
Costa Rica,2010,0.012815419,CRI
Costa Rica,2014,0.005099272,CRI
Costa Rica,2017,0.048723937,CRI
Croatia,2000,0,HRV
Croatia,2001,0,HRV
Croatia,2002,0,HRV
Croatia,2003,0,HRV
Croatia,2004,0,HRV
Croatia,2005,0,HRV
Croatia,2006,0.031686811,HRV
Croatia,2007,0.030954965,HRV
Croatia,2008,0.036417605,HRV
Croatia,2009,0.02272166,HRV
Croatia,2010,0.577469565,HRV
Croatia,2011,0.995396032,HRV
Croatia,2012,0.386933901,HRV
Croatia,2013,0.54766619,HRV
Croatia,2014,0.634072153,HRV
Croatia,2015,0.199661708,HRV
Croatia,2016,2.186178227,HRV
Croatia,2017,1.209443372,HRV
Croatia,2018,1.288267283,HRV
Croatia,2019,0.183985226,HRV
Croatia,2020,2.219185714,HRV
Croatia,2021,0.592039807,HRV
Croatia,2022,0.580597874,HRV
Cuba,2001,0.205664303,CUB
Cuba,2002,0.649957949,CUB
Cuba,2003,0.634352946,CUB
Cuba,2004,0.708287497,CUB
Cuba,2005,0,CUB
Cuba,2006,0,CUB
Cuba,2007,0.563485958,CUB
Cuba,2008,0,CUB
Cuba,2010,0.645838598,CUB
Cuba,2011,0,CUB
Cuba,2012,0.279963142,CUB
Cuba,2014,0,CUB
Cuba,2015,0,CUB
Cyprus,2000,0.054314945,CYP
Cyprus,2001,0.056825798,CYP
Cyprus,2002,0,CYP
Cyprus,2003,0.253078058,CYP
Cyprus,2004,0.421292807,CYP
Cyprus,2005,5.900643646,CYP
Cyprus,2006,0.665300241,CYP
Cyprus,2007,0.048523331,CYP
Cyprus,2008,0.140281984,CYP
Cyprus,2009,0.520848755,CYP
Cyprus,2010,0.767292815,CYP
Cyprus,2011,0.081941095,CYP
Cyprus,2012,0.177149293,CYP
Cyprus,2013,0.06368788,CYP
Cyprus,2014,0.100010702,CYP
Cyprus,2015,0.125490578,CYP
Cyprus,2016,0.027483847,CYP
Cyprus,2017,0.037719686,CYP
Cyprus,2018,0.488710391,CYP
Cyprus,2019,0.163090914,CYP
Cyprus,2020,0.391008382,CYP
Cyprus,2021,0.294693593,CYP
Cyprus,2022,0.334838783,CYP
Czech Republic,2000,0.11,CZE
Czech Republic,2001,0.20407314,CZE
Czech Republic,2002,17.55,CZE
Czech Republic,2003,0.32,CZE
Czech Republic,2004,20.94680663,CZE
Czech Republic,2005,42.4337875,CZE
Czech Republic,2006,27.98242231,CZE
Czech Republic,2007,20.55357903,CZE
Czech Republic,2008,22.73196559,CZE
Czech Republic,2009,15.94706239,CZE
Czech Republic,2010,23.21077089,CZE
Czech Republic,2011,24.36926392,CZE
Czech Republic,2012,24.73706561,CZE
Czech Republic,2013,25.30291126,CZE
Czech Republic,2014,32.92512522,CZE
Czech Republic,2015,32.55146336,CZE
Czech Republic,2016,63.42449108,CZE
Czech Republic,2017,48.00682527,CZE
Czech Republic,2018,53.02873989,CZE
Czech Republic,2019,48.82742668,CZE
Czech Republic,2020,59.46813835,CZE
Czech Republic,2021,58.13309785,CZE
Czech Republic,2022,71.89936742,CZE
Côte d'Ivoire,2011,0.004823074,CIV
Côte d'Ivoire,2014,0.010730849,CIV
Côte d'Ivoire,2017,0.010966744,CIV
Côte d'Ivoire,2018,0.010424449,CIV
Denmark,2000,336.016442,DNK
Denmark,2001,328.4362355,DNK
Denmark,2002,285.0771833,DNK
Denmark,2003,265.5752608,DNK
Denmark,2004,224.3100414,DNK
Denmark,2005,352.2493645,DNK
Denmark,2006,264.4405422,DNK
Denmark,2007,230.0636265,DNK
Denmark,2008,259.1959506,DNK
Denmark,2009,221.7335506,DNK
Denmark,2010,251.9523563,DNK
Denmark,2011,300.0581473,DNK
Denmark,2012,306.4546073,DNK
Denmark,2013,359.2209767,DNK
Denmark,2014,436.3376183,DNK
Denmark,2015,356.1229166,DNK
Denmark,2016,475.7010941,DNK
Denmark,2017,593.4013239,DNK
Denmark,2018,553.2578336,DNK
Denmark,2019,631.3667887,DNK
Denmark,2020,589.0984192,DNK
Denmark,2021,592.2091681,DNK
Denmark,2022,472.0469905,DNK
Djibouti,2006,0.002949979,DJI
Djibouti,2007,0.002809008,DJI
Djibouti,2010,0.004854726,DJI
Djibouti,2012,0.00218999,DJI
Djibouti,2014,0,DJI
Dominica,2016,0.104536852,DMA
Dominican Republic,2000,0.074307358,DOM
Dominican Republic,2001,0.211596189,DOM
Dominican Republic,2010,0,DOM
EU Institutions,2000,1000.14,EUI
EU Institutions,2001,1104.707586,EUI
EU Institutions,2002,1014.716653,EUI
EU Institutions,2003,1082.459188,EUI
EU Institutions,2004,1300.277696,EUI
EU Institutions,2005,1535.780077,EUI
EU Institutions,2006,1766.04784,EUI
EU Institutions,2007,1685.735347,EUI
EU Institutions,2008,1958.618364,EUI
EU Institutions,2009,1609.085207,EUI
EU Institutions,2010,1758.736874,EUI
EU Institutions,2011,1838.285086,EUI
EU Institutions,2012,1828.78,EUI
EU Institutions,2013,1966.499434,EUI
EU Institutions,2014,2273.127223,EUI
EU Institutions,2015,2008.537843,EUI
EU Institutions,2016,3563.1588,EUI
EU Institutions,2017,2844.97547,EUI
EU Institutions,2018,2532.215257,EUI
EU Institutions,2019,2477.542871,EUI
EU Institutions,2020,3133.231776,EUI
EU Institutions,2021,3120.915352,EUI
EU Institutions,2022,2896.281856,EUI
Ecuador,2001,0,ECU
Ecuador,2005,0.023429501,ECU
Ecuador,2006,0.032777629,ECU
Ecuador,2007,0,ECU
Ecuador,2008,0.057728796,ECU
Ecuador,2010,0,ECU
Ecuador,2011,0.005904706,ECU
Ecuador,2013,1.059013461,ECU
Ecuador,2014,0.317704038,ECU
Ecuador,2016,0.002664497,ECU
Ecuador,2017,0,ECU
Egypt,2000,0.502132514,EGY
Egypt,2003,0.044162728,EGY
Egypt,2005,8.263255584,EGY
Egypt,2006,6.01643975,EGY
Egypt,2007,0.340758572,EGY
Egypt,2009,0.440176116,EGY
Egypt,2010,2.380776819,EGY
Egypt,2011,0.042911866,EGY
Egypt,2012,0.916402278,EGY
Egypt,2013,0,EGY
Egypt,2015,0,EGY
Egypt,2016,1.178064048,EGY
Egypt,2019,0.886713798,EGY
El Salvador,2002,0,SLV
El Salvador,2007,0,SLV
El Salvador,2009,0.002526434,SLV
El Salvador,2010,0,SLV
Equatorial Guinea,2005,0.322538759,GNQ
Equatorial Guinea,2010,2.108263286,GNQ
Eritrea,2002,0.048998112,ERI
Eritrea,2003,0,ERI
Estonia,2000,0,EST
Estonia,2001,0.1074763,EST
Estonia,2002,0,EST
Estonia,2003,0.208868946,EST
Estonia,2004,1.20005034,EST
Estonia,2005,0.463395007,EST
Estonia,2006,0.835417315,EST
Estonia,2007,1.189365189,EST
Estonia,2008,1.631383571,EST
Estonia,2009,1.297872256,EST
Estonia,2010,1.915209151,EST
Estonia,2011,2.085490487,EST
Estonia,2012,1.530303622,EST
Estonia,2013,4.113836142,EST
Estonia,2014,4.048809492,EST
Estonia,2015,5.110655156,EST
Estonia,2016,6.830664902,EST
Estonia,2017,5.256086374,EST
Estonia,2018,4.077233409,EST
Estonia,2019,1.541253851,EST
Estonia,2020,9.265453416,EST
Estonia,2021,4.710995136,EST
Estonia,2022,1.202535744,EST
Eswatini,2000,0.021737099,SWZ
Eswatini,2007,0.132894382,SWZ
Faroe Islands,2002,0.502721237,FRO
Faroe Islands,2005,0.346114138,FRO
Faroe Islands,2007,0.059015111,FRO
Faroe Islands,2011,0.02766846,FRO
Faroe Islands,2013,0.035440423,FRO
Faroe Islands,2014,0.033775864,FRO
Faroe Islands,2017,0.222756434,FRO
Faroe Islands,2021,0.078211,FRO
Fiji,2003,0.014594821,FJI
Fiji,2005,0.181275604,FJI
Fiji,2007,0.026883289,FJI
Finland,2000,96.03722304,FIN
Finland,2001,103.8495495,FIN
Finland,2002,96.76865361,FIN
Finland,2003,98.90652571,FIN
Finland,2004,114.3026435,FIN
Finland,2005,156.7645852,FIN
Finland,2006,133.551814,FIN
Finland,2007,159.691044,FIN
Finland,2008,141.8933951,FIN
Finland,2009,155.0942734,FIN
Finland,2010,182.5471459,FIN
Finland,2011,182.0008684,FIN
Finland,2012,166.8842299,FIN
Finland,2013,184.5506424,FIN
Finland,2014,201.0916988,FIN
Finland,2015,186.9299613,FIN
Finland,2016,192.4910837,FIN
Finland,2017,180.2586716,FIN
Finland,2018,154.1794673,FIN
Finland,2019,145.2550013,FIN
Finland,2020,215.5203348,FIN
Finland,2021,201.8327854,FIN
Finland,2022,184.8172517,FIN
France,2000,196.8755834,FRA
France,2001,620.4646391,FRA
France,2002,663.5111188,FRA
France,2003,847.7999186,FRA
France,2004,956.4138999,FRA
France,2005,1017.234531,FRA
France,2006,414.2056326,FRA
France,2007,430.9498406,FRA
France,2008,408.699063,FRA
France,2009,383.8154714,FRA
France,2010,449.7309223,FRA
France,2011,450.8961954,FRA
France,2012,412.236991,FRA
France,2013,417.2433135,FRA
France,2014,479.4486113,FRA
France,2015,473.9371535,FRA
France,2016,891.0125093,FRA
France,2017,666.2328499,FRA
France,2018,675.124827,FRA
France,2019,679.4231461,FRA
France,2020,772.718277,FRA
France,2021,805.7887942,FRA
France,2022,1336.101469,FRA
French Polynesia,2004,1.205363662,PYF
French Polynesia,2016,0,PYF
Gabon,2000,0.471973525,GAB
Gabon,2008,0.453179178,GAB
Gabon,2010,1.018843464,GAB
Gambia,2010,1.011897572,GMB
Georgia,2009,0.014983745,GEO
Georgia,2010,0.175612521,GEO
Georgia,2011,0.076825337,GEO
Georgia,2013,0.041364015,GEO
Georgia,2014,0.021062737,GEO
Georgia,2015,0.030697088,GEO
Georgia,2017,0.103989717,GEO
Germany,2000,584.2566366,DEU
Germany,2001,700.2587798,DEU
Germany,2002,628.7836758,DEU
Germany,2003,523.5169398,DEU
Germany,2004,550.4269317,DEU
Germany,2005,794.8612833,DEU
Germany,2006,837.2438445,DEU
Germany,2007,693.2583051,DEU
Germany,2008,765.6757466,DEU
Germany,2009,751.3311184,DEU
Germany,2010,793.1957539,DEU
Germany,2011,941.7289175,DEU
Germany,2012,902.1318376,DEU
Germany,2013,1102.904511,DEU
Germany,2014,1490.398822,DEU
Germany,2015,1515.645261,DEU
Germany,2016,3277.789461,DEU
Germany,2017,3975.076786,DEU
Germany,2018,3773.136792,DEU
Germany,2019,3210.139416,DEU
Germany,2020,3489.198525,DEU
Germany,2021,3922.655426,DEU
Germany,2022,4812.450383,DEU
Ghana,2000,0.211881911,GHA
Ghana,2009,0.016216229,GHA
Ghana,2010,2.941362283,GHA
Ghana,2012,0.013847395,GHA
Greece,2000,31.21340901,GRC
Greece,2001,26.92254475,GRC
Greece,2002,32.64223799,GRC
Greece,2003,31.00718143,GRC
Greece,2004,34.75926766,GRC
Greece,2005,51.86376403,GRC
Greece,2006,46.02111676,GRC
Greece,2007,39.65641984,GRC
Greece,2008,44.17224893,GRC
Greece,2009,39.95744554,GRC
Greece,2010,34.69717642,GRC
Greece,2011,29.52850098,GRC
Greece,2012,26.35403648,GRC
Greece,2013,24.16233063,GRC
Greece,2014,28.723208,GRC
Greece,2015,24.96446158,GRC
Greece,2016,54.34970005,GRC
Greece,2017,50.31279816,GRC
Greece,2018,39.735517,GRC
Greece,2019,35.43113809,GRC
Greece,2020,45.97348019,GRC
Greece,2021,42.38136786,GRC
Greece,2022,39.10356333,GRC
Grenada,2006,0.026542278,GRD
Grenada,2010,0.119757802,GRD
Guatemala,2001,0,GTM
Guatemala,2007,0.014110716,GTM
Guatemala,2009,0.055016723,GTM
Guyana,2005,0.103122811,GUY
Guyana,2008,0.005707093,GUY
Guyana,2009,0.001424581,GUY
Guyana,2010,1.112478523,GUY
Guyana,2011,0.101023945,GUY
Guyana,2012,0.003744752,GUY
Guyana,2014,0.055100247,GUY
Guyana,2015,0.046305749,GUY
Guyana,2016,0.001850449,GUY
Guyana,2018,0.001877085,GUY
Guyana,2019,0.001812394,GUY
Guyana,2021,0.003418799,GUY
Guyana,2022,0.087598316,GUY
Haiti,2009,0.002497045,HTI
Holy See (Vatican City State),2001,0.158245915,VAT
Holy See (Vatican City State),2002,0.038152924,VAT
Holy See (Vatican City State),2007,0.192718757,VAT
Holy See (Vatican City State),2009,0.069050963,VAT
Holy See (Vatican City State),2010,0.005315544,VAT
Holy See (Vatican City State),2011,7.026831034,VAT
Holy See (Vatican City State),2012,0.015378309,VAT
Holy See (Vatican City State),2013,0.16218717,VAT
Holy See (Vatican City State),2014,0.053063617,VAT
Holy See (Vatican City State),2015,0.035482839,VAT
Holy See (Vatican City State),2016,0.019825727,VAT
Holy See (Vatican City State),2017,0.016706733,VAT
Holy See (Vatican City State),2018,0.00533361,VAT
Holy See (Vatican City State),2020,0.155254371,VAT
Holy See (Vatican City State),2021,0.01,VAT
Holy See (Vatican City State),2022,0.007528049,VAT
Honduras,2001,0,HND
Honduras,2016,0,HND
Hong Kong,2006,2.358799004,HKG
Hong Kong,2007,2.446306862,HKG
Hong Kong,2008,0.826165584,HKG
