id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.organizationSubTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Cluster.code,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.code
167958,0,2018,242008|185200|185198|225364|173327|204623|185203|213371|195553|179929|193111|182277|185199|185202|197997|195556,financial,2018-09-25T04:26:17.021Z,2017-12-11T00:00:00Z,2017-12-11T00:00:00Z,Humanitarian Assistance to Syrian and Palestinian Refugees in Lebanon,,0.84,2017-12-13T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2021-11-04T15:48:20.871Z,3,incoming,shared,AA-S05 321.50 SYR 04/18,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,43; 40; 39; 41; 42,2022; 2019; 2018; 2020; 2021,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,124,Lebanon,single,,,3049,World Food Programme,single,UN agency,,43; 39; 40; 41; 42,2022; 2018; 2019; 2020; 2021,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,,,,,,,600,Syrian Arab Republic - Civil Unrest (from 2012),single,,,,,,,,,,,,,,,,,,,,,,,,,
168095,8530806,2017,,financial,2020-08-26T02:25:22.086Z,2017-12-15T00:00:00Z,2017-12-15T00:00:00Z,Integration of refugees and improvement food protection (BMZ),,0.844,2017-12-16T00:00:00Z,Parked,Multiyear,TRUE,7200000,EUR,Traditional aid,,commitment,2020-08-27T12:09:43.347Z,2,incoming,shared,2017.1813.9,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,44,Chad,single,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Private organization/foundation,International organization/foundation/individual,38; 39; 40; 41; 42; 43,2017; 2018; 2019; 2020; 2021; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,8; 4; 26480,Logistics; Emergency Shelter and NFI; Coordination and support services,shared; shared; shared,NULL; NULL; NULL,NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168138,11848341,2017,,financial,2021-01-15T02:25:14.649Z,2017-12-18T00:00:00Z,2017-12-18T00:00:00Z,The access of youngsters from vulnerablen sections of the population in the north of the Rakhine State to the offers of the professional qualification and the occupation support is improved (BMZ),,0.844,2017-12-19T00:00:00Z,Parked,Multiyear,TRUE,10000000,EUR,Traditional aid,,commitment,2021-01-15T08:30:25.804Z,2,incoming,shared,2017.1839.4,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,153,Myanmar,single,,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Private organization/foundation,International organization/foundation/individual,38; 39; 40; 41; 42; 43; 44,2017; 2018; 2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,4; 26480,Emergency Shelter and NFI; Coordination and support services,shared; shared,NULL; NULL,NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174495,0,,173381|174498|174499|174496|174497,financial,2018-05-15T16:21:34.720Z,2018-03-31T00:00:00Z,,"JOR Medair - Comprehensive support to vulnerable Syrian refugees and Jordanians through a case management approachthrough SCO Amman , 2018-2022 multiyear award, award total CHF 3,950,000 (7F-10006.99)",,0.939,2018-04-12T00:00:00Z,Parked,Multiyear,TRUE,0,CHF,Traditional aid,,commitment,2020-04-06T09:00:42.182Z,1,incoming,shared,7F-10006.99,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,39,2018,single,,,,,,,,,,,,,114,Jordan,single,,,4528,MEDAIR,single,NGO,International,39; 40; 41; 42; 43,2018; 2019; 2020; 2021; 2022,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,600,Syrian Arab Republic - Civil Unrest (from 2012),single,,4243,Multi-sector,single,,,,,,,,,,,,,,,,,,,,,
174499,212993,,,financial,2018-05-15T16:50:35.892Z,2018-03-31T00:00:00Z,,"JOR Medair - Comprehensive support to vulnerable Syrian refugees and Jordanians through a case management approach through SCO Amman, multiyear 2018-2022, 2022 portion, award total CHF 200,000 (7F-10006.99)",,0.939,2018-04-12T00:00:00Z,Standard,Multiyear,TRUE,200000,CHF,Traditional aid,174495,commitment,2018-05-15T16:50:35.892Z,1,incoming,single,7F-10006.99,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,39,2018,single,,,,,,,,,,,,,114,Jordan,single,,,4528,MEDAIR,single,NGO,International,43,2022,single,,,26479,Multi-sector,single,,,600,Syrian Arab Republic - Civil Unrest (from 2012),single,,4243,Multi-sector,single,,,,,,,,,,,,,,,,,,,,,
174919,500000,,,financial,2018-05-19T04:25:40.792Z,2018-05-21T00:00:00Z,2018-05-09T00:00:00Z,Unearmarked Unallocated Funds [OCT 6080];[NA],unearmarked,,2018-05-19T00:00:00Z,Standard,Unearmarked,TRUE,,,Traditional aid,,paid,2018-12-10T13:32:12.098Z,1,incoming,single,[OCT 6080];[NA],196,Saudi Arabia,single,,,2998,"Saudi Arabia (Kingdom of), Government of",single,Government,National government,39,2018,single,,,,,,,,,,,,,,,,,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,,43,2022,single,,,26480,Coordination and support services,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175121,0,,175131|175122|175130|175132|175129,financial,2018-05-23T10:01:14.152Z,2018-01-30T00:00:00Z,2018-01-30T00:00:00Z,"Bridge School Program for OOSC, Bangladesh",,,2018-05-20T00:00:00Z,Parked,Multiyear,TRUE,,,Traditional aid,,commitment,2021-06-29T09:15:28.681Z,1,incoming,shared,EAA/EAC/CT/53/2018,,,,,,7173,Education Above All Foundation,single,Private organization/foundation,Local/National organization/foundation/individual,39,2018,single,,,,,,,,,,,,,19,Bangladesh,single,,,4494,BRAC,single,NGO,International,42; 41; 40; 39; 43,2021; 2020; 2019; 2018; 2022,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,3,Education,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175132,513910,,,financial,2018-05-23T11:06:30.091Z,2018-01-30T00:00:00Z,2018-01-30T00:00:00Z,"Bridge School Program for OOSC, Bangladesh",,,2018-05-20T00:00:00Z,Standard,Multiyear,TRUE,,,Traditional aid,175121,commitment,2018-05-23T11:06:30.091Z,1,incoming,single,EAA/EAC/CT/53/2018,,,,,,7173,Education Above All Foundation,single,Private organization/foundation,Local/National organization/foundation/individual,39,2018,single,,,,,,,,,,,,,19,Bangladesh,single,,,4494,BRAC,single,NGO,International,43,2022,single,,,3,Education,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176447,0,,176452|176450|176451|176648|176449|176448,financial,2018-06-20T08:34:18.954Z,2018-06-05T00:00:00Z,,"Support to WHO - oPt / Gaza, multi-year funding, 2018-2023, total award CHF 1,500,000 (7F-10059.01)",,0.933,2018-06-05T00:00:00Z,Parked,Multiyear,TRUE,0,CHF,Traditional aid,,commitment,2021-09-22T09:34:26.951Z,2,incoming,shared,7F-10059.01,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,39,2018,single,,,,,,,,,,,,,,,,,,4398,World Health Organization,single,UN agency,,39; 40; 41; 42; 44; 43,2018; 2019; 2020; 2021; 2023; 2022,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176648,321543,,,financial,2018-06-14T12:35:27.105Z,2018-06-05T00:00:00Z,,"Support to WHO - oPt / Gaza, multi-year funding, 2018-2023, 2022 portion, total award CHF 300,000 (7F-10059.01)",,0.933,2018-06-05T00:00:00Z,Standard,Multiyear,TRUE,300000,CHF,Traditional aid,176447,commitment,2019-06-14T08:06:21.097Z,1,incoming,single,7F-10059.01,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,39,2018,single,,,,,,,,,,,,,171,occupied Palestinian territory,single,,,4398,World Health Organization,single,UN agency,,43,2022,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176652,0,,176659|176658|176655|176657|176653|176661|176654,financial,2018-06-20T14:50:13.847Z,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z,The project is expected to improve food security and increase the resilience of livelihood of livestock farmers to animal disease threats in Pakistan.,,,2018-06-14T00:00:00Z,Parked,Multiyear,TRUE,,,Traditional aid,,commitment,2019-05-17T15:46:30.584Z,1,incoming,shared,F-No.5-12/2012(FAO-FMD)IC-1 UTF/PAK/145/PAK,169,Pakistan,single,,,83,"Pakistan, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,169,Pakistan,single,,,4399,Food & Agriculture Organization of the United Nations,single,UN agency,,42; 40; 44; 39; 43; 45; 41,2021; 2019; 2023; 2018; 2022; 2024; 2020,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176658,1163262,,,financial,2018-06-20T15:32:26.099Z,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z,The project is expected to improve food security and increase the resilience of livelihood of livestock farmers to animal disease threats in Pakistan (2022 portion),,,2018-06-14T00:00:00Z,Standard,Multiyear,TRUE,,,Traditional aid,176652,commitment,2018-06-20T15:33:39.075Z,1,incoming,single,F-No.5-12/2012(FAO-FMD)IC-1 UTF/PAK/145/PAK,169,Pakistan,single,,,83,"Pakistan, Government of",single,Government,National government,38,2017,single,,,,,,,,,,,,,169,Pakistan,single,,,4399,Food & Agriculture Organization of the United Nations,single,UN agency,,43,2022,single,,,6,Food Security,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179121,0,,179122|179123|179125|179126|179124,financial,2018-08-14T17:24:51.780Z,2018-07-31T00:00:00Z,,"Iraq INSO Analysis and Advice for Humanitarians , Multiyear 2018-2022, total amount CHF 600,000 (7F-10117.01)",,0.991,2018-08-03T00:00:00Z,Parked,Multiyear,TRUE,0,CHF,Traditional aid,,commitment,2020-03-31T09:56:50.804Z,1,incoming,shared,7F-10117.01,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,39,2018,single,,,,,,,,,,,,,106,Iraq,single,,,6865,International NGO Safety Organisation,single,NGO,International,41; 40; 39; 42; 43,2020; 2019; 2018; 2021; 2022,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179126,40363,,,financial,2018-08-14T17:30:07.805Z,2018-07-31T00:00:00Z,,"Iraq INSO Analysis and Advice for Humanitarians , Multiyear 2018-2022,2021 portion,  total amount CHF 40,000 (7F-10117.01)",,0.991,2018-08-03T00:00:00Z,Standard,Multiyear,TRUE,40000,CHF,Traditional aid,179121,commitment,2018-08-14T17:30:07.805Z,1,incoming,single,7F-10117.01,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,39,2018,single,,,,,,,,,,,,,106,Iraq,single,,,6865,International NGO Safety Organisation,single,NGO,International,43,2022,single,,,10,Protection,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179508,17128728,2018,221816|221815|186712|186713,financial,2019-05-04T04:25:37.009Z,2018-08-23T00:00:00Z,2018-08-23T00:00:00Z,"Stabilization and improvement of the food situation of the Southern Sudanese and refugees. Improving the livelihoods of small farmers, including diversification of agricultural production; supporting communities in building infrastructure to improve their capacity to cope with future climate shocks.",,0.8678,2018-08-23T00:00:00Z,Parked,Multiyear,TRUE,14864311,EUR,Traditional aid,,paid,2021-04-23T15:02:35.512Z,2,incoming,shared,2018.1836.8,83,Germany,single,,,4306,"Germany, Government of",single,Government,National government,39,2018,single,,,,,,,,,,,,,211,South Sudan,single,,,3049,World Food Programme,single,UN agency,,39; 40; 41; 42; 43; 44,2018; 2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
