id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Emergency.code,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
10015,1236094,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Running of collective lodging for homeless in Kosovo,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,10000000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,4,Emergency Shelter and NFI,single,,,,,25724802,Serbia and Montenegro (until 2006-2009),single,,,,,60,United Nations Mission in Kosovo,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,10,Southeastern Europe 2000 - 2002,single,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10016,123609,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,"Food aid to 330,000 people",,,2002-07-03T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,1000000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,6,Food Security,single,,,,,69,Eritrea,single,,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10017,614339,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Food aid to the victims of drought,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,4970000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,6,Food Security,single,,,,,71,Ethiopia,single,,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10018,912238,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Support to the distribution of basic food stuffs,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,5380000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,6,Food Security,single,,,,,116,Kenya,single,,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10019,985661,2000,,financial,2002-08-01T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Delivery of vegetable,,,2002-07-03T00:00:00Z,Standard,Humanitarian aid|Food,TRUE,DKK,Traditional aid,,commitment,2002-08-01T00:00:00Z,1,incoming,single,7974000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,6,Food Security,single,,,,,152,Mozambique,single,,,,,3049,World Food Programme,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-03T00:00:00.000Z
10023,29441,2002,,financial,2002-08-02T00:00:00Z,2002-07-30T00:00:00Z,2002-07-30T00:00:00Z,To provide drugs for the air crash victims,,,2002-08-01T00:00:00Z,Standard,Humanitarian aid,TRUE,EUR,Traditional aid,,commitment,2002-08-02T00:00:00Z,1,incoming,single,30000,GF 02 321.50 UKR 01/02,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,23,2002,single,,,,83,Germany,single,,,,,,,,,,7,Health,single,,,,,234,Ukraine,single,,,,,,,,,,,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Germany, Government of",NA,2002-08-01T00:00:00.000Z
1004,421958,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Security operations (OLS Nairobi),,,2001-04-05T00:00:00Z,Standard,Safety and security of staff and operations,FALSE,,Traditional aid,,paid,2002-03-25T00:00:00Z,1,internal,single,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,21,2000,single,,,,,,,,,,,,,,,,26480,Coordination and support services,single,,,,NA,212,Sudan,single,,,,NA,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,NA,60,Sudan 2000,single,,,,NA,699,Security operations,single,,,,SUD-00-1/N19 B,21,2000,single,,,,NA,,,,,,,,Primary; Primary,United Nations Children's Fund; Office for the Coordination of Humanitarian Affairs,Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z
1005,74242,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Monitoring and evaluation (OLS Nairobi),,,2001-04-05T00:00:00Z,Standard,,FALSE,,Traditional aid,,paid,2001-09-17T00:00:00Z,1,internal,single,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,21,2000,single,,,,,,,,,,,,,,,,26480,Coordination and support services,single,,,,NA,212,Sudan,single,,,,NA,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,NA,60,Sudan 2000,single,,,,NA,709,"Planning, analysis, monitoring and evaluation",single,,,,SUD-00-1/N23,21,2000,single,,,,NA,,,,,,,,Primary; Primary,Office for the Coordination of Humanitarian Affairs; United Nations Children's Fund,Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z
10052,133333,2002,,financial,2002-08-02T00:00:00Z,2002-08-02T00:00:00Z,2002-08-02T00:00:00Z,Delivery of meidcal material for Lemberg accident,,,2002-08-02T00:00:00Z,Standard,Humanitarian aid,TRUE,CHF,Traditional aid,,commitment,2002-08-02T00:00:00Z,1,incoming,single,200000,7F-02379.01.01,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,23,2002,single,,,,217,Switzerland,single,,,,,,,,,,7,Health,single,,,,,234,Ukraine,single,,,,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Other,,,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Switzerland, Government of",NA,2002-08-02T00:00:00.000Z
1006,374000,,1000,,2017-01-14T02:18:43.738Z,2000-01-01T00:00:00Z,,"Automatic parent flow for allocation of unearmarked funds for contribution ID 41056 (flow ID 1000, version ID 1).",,,,Standard,,TRUE,,,,paid,2017-01-14T02:18:43.738Z,1,incoming,single,,,,,,,,,21,2000,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Secondary,Office for the Coordination of Humanitarian Affairs,Other,NA
1007,680015,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Nuba-Mountains - multi-sectoral assistance (OLS Nairobi) (UNICEF),,,2001-04-05T00:00:00Z,Standard,allocation of unearmarked funds,FALSE,USD,Traditional aid,1011,paid,2012-03-30T11:41:00Z,1,internal,single,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,21,2000,single,,,,,,,,,,,,,,,,26479,Multi-sector,single,,,,NA,212,Sudan,single,,,,NA,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,NA,60,Sudan 2000,single,,,,NA,712,Nuba Mountains - multi-sectoral assistance,single,,,,SUD-00-1/N24,21,2000,single,,,,NA,,,,,,,,Primary,United Nations Children's Fund,Other,2001-04-05T00:00:00.000Z
1010,692435,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Nuba-Mountains - multi-sectoral assistance (OLS Khartoum) (UNICEF),,,2001-04-05T00:00:00Z,Standard,allocation of unearmarked funds,FALSE,USD,Traditional aid,1015,paid,2012-03-30T11:42:00Z,1,internal,single,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,21,2000,single,,,,,,,,,,,,,,,,26479,Multi-sector,single,,,,NA,212,Sudan,single,,,,NA,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,NA,60,Sudan 2000,single,,,,NA,712,Nuba Mountains - multi-sectoral assistance,single,,,,SUD-00-1/N24,21,2000,single,,,,NA,,,,,,,,Primary,United Nations Children's Fund,Other,2001-04-05T00:00:00.000Z
1011,680015,,1007,,2017-01-14T02:18:44.824Z,2000-01-01T00:00:00Z,,"Automatic parent flow for allocation of unearmarked funds for contribution ID 41062 (flow ID 1007, version ID 1).",,,,Standard,,TRUE,,,,paid,2017-01-14T02:18:44.824Z,1,incoming,single,,,,,,,,,21,2000,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Secondary,Office for the Coordination of Humanitarian Affairs,Other,NA
10114,247219,2000,,financial,2002-08-08T00:00:00Z,2000-12-31T00:00:00Z,2000-12-31T00:00:00Z,Funds to transport refugees,,,2002-07-30T00:00:00Z,Standard,Humanitarian aid,TRUE,DKK,Traditional aid,,commitment,2002-08-08T00:00:00Z,1,incoming,single,2000000,,3776,"Denmark, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,61,Denmark,single,,,,,,,,,,26479,Multi-sector,single,,,,,200,Sierra Leone,single,,,,,2986,International Organization for Migration,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Primary,"Denmark, Government of",NA,2002-07-30T00:00:00.000Z
1014,337299,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Multi-sector assistance,,,2001-04-05T00:00:00Z,Standard,,TRUE,,Traditional aid,,paid,2001-09-14T00:00:00Z,1,incoming,single,,,4546,"Austria, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,15,Austria,single,,,,,,,,,,26479,Multi-sector,single,,,,NA,,,,,,,,4397,United Nations High Commissioner for Refugees,single,Multilateral Organizations,UN Agencies,International Actors,NA,67,Southeastern Europe 2000,single,,,,NA,923,Multi-sector,single,,,,SEE/KOS/UNHCR-00-1/N05,21,2000,single,,,,NA,10,Southeastern Europe 2000 - 2002,single,,,,NA,Primary; Primary,"United Nations High Commissioner for Refugees; Austria, Government of",Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z
1015,692435,,1010,,2017-01-14T02:18:45.531Z,2000-01-01T00:00:00Z,,"Automatic parent flow for allocation of unearmarked funds for contribution ID 41065 (flow ID 1010, version ID 1).",,,,Standard,,TRUE,,,,paid,2017-01-14T02:18:45.531Z,1,incoming,single,,,,,,,,,21,2000,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4396,Office for the Coordination of Humanitarian Affairs,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,21,2000,single,,,,,,,,,,,,Secondary,Office for the Coordination of Humanitarian Affairs,Other,NA
1016,315000,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Health (OLS Nairobi),,,2001-04-05T00:00:00Z,Standard,,TRUE,,Traditional aid,,paid,2001-09-17T00:00:00Z,1,incoming,single,,,1657,United Nations Foundation,single,Private Organizations,International Private Organizations,International Actors,21,2000,single,,,,,,,,,,,,,,,,7,Health,single,,,,NA,212,Sudan,single,,,,NA,2915,United Nations Children's Fund,single,Multilateral Organizations,UN Agencies,International Actors,NA,60,Sudan 2000,single,,,,NA,665,Health,single,,,,SUD-00-1/N05-A,21,2000,single,,,,NA,,,,,,,,Primary; Primary,United Nations Children's Fund; United Nations Foundation,Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z
1019,344828,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Multi-sector assistance,,,2001-04-05T00:00:00Z,Standard,,TRUE,,Traditional aid,,paid,2001-09-14T00:00:00Z,1,incoming,single,,,2928,"Canada, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,40,Canada,single,,,,,,,,,,26479,Multi-sector,single,,,,NA,,,,,,,,4397,United Nations High Commissioner for Refugees,single,Multilateral Organizations,UN Agencies,International Actors,NA,67,Southeastern Europe 2000,single,,,,NA,920,Multi-sector,single,,,,SEE/CRO/UNHCR-00-1/N03,21,2000,single,,,,NA,10,Southeastern Europe 2000 - 2002,single,,,,NA,Primary; Primary,"Canada, Government of; United Nations High Commissioner for Refugees",Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z
1020,26000,2000,,financial,2001-04-05T00:00:00Z,2000-01-01T00:00:00Z,2000-01-01T00:00:00Z,Multi-sector assistance,,,2001-04-05T00:00:00Z,Standard,,TRUE,,Traditional aid,,paid,2001-09-14T00:00:00Z,1,incoming,single,,,2932,"Czech Republic, Government of",single,Governments,National Governments,National and Sub-National State Actors,21,2000,single,,,,60,Czech Republic,single,,,,,,,,,,26479,Multi-sector,single,,,,NA,,,,,,,,4397,United Nations High Commissioner for Refugees,single,Multilateral Organizations,UN Agencies,International Actors,NA,67,Southeastern Europe 2000,single,,,,NA,1067,Multi-sector assistance,single,,,,SEE/REG/UNHCR-00,21,2000,single,,,,NA,10,Southeastern Europe 2000 - 2002,single,,,,NA,Primary; Primary,"United Nations High Commissioner for Refugees; Czech Republic, Government of",Other; Other,2001-04-05T00:00:00.000Z; 2001-04-05T00:00:00.000Z
