id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.code,destinationObjects_UsageYear.code,destinationObjects_Emergency.code,destinationObjects_Plan.organizationSubTypes,destinationObjects_Project.organizationSubTypes
11703,602000,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Multi-sector assistance,,,2002-11-22T00:00:00Z,Standard,,TRUE,1000000,AUD,Traditional aid,,paid,2003-07-09T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,3035,United Nations Relief and Works Agency for Palestine Refugees in the Near East,single,UN agency,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,NA,NA,NA,118,occupied Palestinian territory 2003,single,,NA,3288,Multi-sectoral assistance ,single,,oPt-03/MS01,NA,,,
11704,391560,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Multi-sector assistance,,,2002-11-22T00:00:00Z,Standard,,TRUE,685000,AUD,Traditional aid,,paid,2003-05-15T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,3035,United Nations Relief and Works Agency for Palestine Refugees in the Near East,single,UN agency,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,NA,NA,NA,118,occupied Palestinian territory 2003,single,,NA,3288,Multi-sectoral assistance ,single,,oPt-03/MS01,NA,,,
11705,30387,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Agriculture sector support,,,2002-11-22T00:00:00Z,Standard,Agriculture,TRUE,55000,AUD,Traditional aid,,commitment,2017-11-21T00:37:59.635Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26512,Agriculture,single,,1963,Sagric Intenational Pty Ltd,single,Private organization/foundation,24,2003,single,,,171,occupied Palestinian territory,single,,,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,
11706,150349,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Pre-school education and vocational training,,,2002-11-22T00:00:00Z,Standard,,TRUE,272132,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,3,Education,single,,3366,Salvation Army,single,Private organization/foundation,24,2003,single,,,171,occupied Palestinian territory,single,,,International organization/foundation/individual,,,,,,,,,,,,,,,,,,,,,,,
11707,118739,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Palestinian community health workers project,,,2002-11-22T00:00:00Z,Standard,,TRUE,214917,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,7,Health,single,,8468,CARE Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11708,140365,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Building livelihoods through community development,,,2002-11-22T00:00:00Z,Standard,,TRUE,254061,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,2,Early Recovery,single,,4721,"Australian People for Health, Education and Development Abroad",single,Inter-governmental,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,,,,,,,,,,,,,,,,,
11709,164066,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Vocational training,,,2002-11-22T00:00:00Z,Standard,,TRUE,296959,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,3,Education,single,,1964,AUSTCARE - Australian Care for Refugees,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11710,189107,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Violence against women project,,,2002-11-22T00:00:00Z,Standard,,TRUE,342283,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,10,Protection,single,,8589,OXFAM/Community Aid Abroad (OXFAM-Australia),single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11711,128784,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Support to various Palestinian NGOs,,,2002-11-22T00:00:00Z,Standard,,TRUE,233099,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,4722,Australian Community Assistance Scheme,single,Other,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,,,,,,,,,,,,,,,,,
11712,59669,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Multi-sector,,1.5,2002-11-22T00:00:00Z,Standard,,TRUE,108099,AUD,Traditional aid,,commitment,2006-01-23T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,4391,"Australia, Government of",single,Government,24,2003,single,,,171,occupied Palestinian territory,single,,,National government,,,,,,,,,,,,,,,,,,,,,,,
11713,3108,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Capacity building programme,,,2002-11-22T00:00:00Z,Standard,,TRUE,5625,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,10,Protection,single,,4723,Australians Care for Refugees,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11714,19628,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Refugee education and skills training,,,2002-11-22T00:00:00Z,Standard,,TRUE,34875,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,3,Education,single,,4723,Australians Care for Refugees,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11715,4144,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Community health and education,,,2002-11-22T00:00:00Z,Standard,,TRUE,7500,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26479,Multi-sector,single,,4721,"Australian People for Health, Education and Development Abroad",single,Inter-governmental,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,,,,,,,,,,,,,,,,,
11716,2486,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Capacity building programme,,,2002-11-22T00:00:00Z,Standard,,TRUE,4500,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,10,Protection,single,,4723,Australians Care for Refugees,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11717,21853,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Refugee education and skills training,,,2002-11-22T00:00:00Z,Standard,,TRUE,39554,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,10,Protection,single,,4723,Australians Care for Refugees,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11718,19245,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Basic health care,,,2002-11-22T00:00:00Z,Standard,,TRUE,34834,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,7,Health,single,,8461,World Vision Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11719,6286,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Support to local NGOs,,,2002-11-22T00:00:00Z,Standard,,TRUE,11377,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,10,Protection,single,,8461,World Vision Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11720,29557,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Vocational training,,,2002-11-22T00:00:00Z,Standard,,TRUE,53499,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,3,Education,single,,8461,World Vision Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11721,16022,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Vocational training,,,2002-11-22T00:00:00Z,Standard,,TRUE,28999,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,3,Education,single,,8461,World Vision Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11722,12444,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Health activity,,,2002-11-22T00:00:00Z,Standard,,TRUE,22524,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,7,Health,single,,4724,National Council of Churches in Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,National,,,,,,,,,,,,,,,,,,,,,,,
11723,40502,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Basic health care,,,2002-11-22T00:00:00Z,Standard,,TRUE,73310,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,7,Health,single,,8461,World Vision Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11724,4290,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Support to local NGOs,,,2002-11-22T00:00:00Z,Standard,,TRUE,7765,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,10,Protection,single,,8461,World Vision Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11725,66490,2002,,financial,2002-11-29T00:00:00Z,2002-11-22T00:00:00Z,2002-11-22T00:00:00Z,Vocational training,,,2002-11-22T00:00:00Z,Standard,,TRUE,120346,AUD,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,14,Australia,single,,,4391,"Australia, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,3,Education,single,,8461,World Vision Australia,single,NGO,24,2003,single,,,171,occupied Palestinian territory,single,,,International,,,,,,,,,,,,,,,,,,,,,,,
11726,133156,2002,,financial,2002-11-29T00:00:00Z,2002-11-25T00:00:00Z,2002-11-25T00:00:00Z,Demobilisation of child soldiers,,,2002-11-27T00:00:00Z,Standard,,TRUE,1000000,NOK,Traditional aid,,commitment,2002-11-29T00:00:00Z,1,incoming,single,,167,Norway,single,,,2930,"Norway, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,10,Protection,single,,2915,United Nations Children's Fund,single,UN agency,24,2003,single,,,,,,,,,,8,Great Lakes Region and Central Africa 2000 -2003,single,,,NA,,NA,106,Great Lakes Region and Central Africa 2003,single,,NA,2596,Child soldiers,single,,GLR-03/P/HR/RL01,NA,NA,,
11727,196657,2002,,financial,2002-11-29T00:00:00Z,2002-11-26T00:00:00Z,2002-11-26T00:00:00Z,Support to humanitarian coordination,,,2002-11-28T00:00:00Z,Standard,,TRUE,200000,EUR,Traditional aid,,paid,2003-02-24T00:00:00Z,1,incoming,single,,110,Italy,single,,,3774,"Italy, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26480,Coordination and support services,single,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,NA,NA,NA,118,occupied Palestinian territory 2003,single,,NA,3238,Support to humanitarian coordination,single,,oPt-03/CSS01,NA,,,
11734,72483,2002,,financial,2002-12-03T00:00:00Z,2002-11-29T00:00:00Z,2002-11-29T00:00:00Z,Technical support KoBü Ouagadougou,,,2002-12-02T00:00:00Z,Standard,Humanitarian aid,TRUE,108000,CHF,Traditional aid,,commitment,2002-12-03T00:00:00Z,1,incoming,single,7F-05535.01,217,Switzerland,single,,,2924,"Switzerland, Government of",single,Government,National government,23,2002,single,,,,,,,,,,,26480,Coordination and support services,single,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Government,24,2003,single,,,36,Burkina Faso,single,,,National government,,194,Cote d'Ivoire 2002 - 2004,single,,,,,,,,,,,,,,,,,,,
11787,85929,2002,,financial,2002-12-09T00:00:00Z,2002-12-06T00:00:00Z,2002-12-06T00:00:00Z,Enhancing coordination among all aid agencies and with the host government,,,2002-12-06T00:00:00Z,Standard,Humanitarian aid,TRUE,,,Traditional aid,,paid,2003-03-21T00:00:00Z,1,incoming,single,,86,Greece,single,,,4547,"Greece, Government of",single,Government,National government,24,2003,single,,,,,,,,,,,26480,Coordination and support services,single,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,24,2003,single,,,184,Russian Federation,single,,,,,162,Chechnya and Neighbouring Republics 2003 - 2005,single,,,NA,NA,NA,114,Chechnya and Neighbouring Republics (RF) 2003,single,,NA,2916,Enhancing coordination amongst humanitarian organisations,single,,RUS-03/CSS01,NA,NA,,
11850,68785,2002,,financial,2002-12-13T00:00:00Z,2002-12-11T00:00:00Z,2002-12-11T00:00:00Z,Coordination of humanitarian assistance,,,2002-12-11T00:00:00Z,Standard,Humanitarian aid,TRUE,80000,EUR,Traditional aid,,paid,2004-11-17T00:00:00Z,1,incoming,single,ECHO/BDI/210/2002/01028,,,,,,2966,European Commission,single,Inter-governmental,,23,2002,single,,,,,,,,,,,26480,Coordination and support services,single,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,24,2003,single,,,37,Burundi,single,,,,,,,,,,NA,NA,NA,107,Burundi 2003,single,,NA,2628,Coordination of humanitarian activities,single,,BDI-03/CSS01,NA,,,
11851,472017,2002,,financial,2002-12-13T00:00:00Z,2002-12-11T00:00:00Z,2002-12-11T00:00:00Z,Support to humanitarian coordination,,,2002-12-13T00:00:00Z,Standard,,TRUE,565240,EUR,Traditional aid,,paid,2003-11-11T00:00:00Z,1,incoming,single,ECHO/TPS/210/2002/18003,,,,,,2966,European Commission,single,Inter-governmental,,23,2002,single,,,,,,,,,,,26480,Coordination and support services,single,,4396,Office for the Coordination of Humanitarian Affairs,single,UN agency,24,2003,single,,,171,occupied Palestinian territory,single,,,,,,,,,,NA,NA,NA,118,occupied Palestinian territory 2003,single,,NA,3238,Support to humanitarian coordination,single,,oPt-03/CSS01,NA,,,
