id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Emergency.organizationLevels,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.organizationSubTypes,sourceObjects_Cluster.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,sourceObjects_Plan.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.organizationSubTypes,destinationObjects_Cluster.organizationLevels,destinationObjects_Cluster.code,destinationObjects_Emergency.code,destinationObjects_GlobalCluster.code,destinationObjects_Location.code,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.code
184848,303337,,,financial,2018-12-03T17:53:22.072Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: DRR, Disaster prevention andpreparedness , Multiyear 2018-2023, 2023 portion, total award CHF 300,000 (Z7H314300081)",,0.989,2018-11-01T00:00:00Z,Standard,Multiyear,TRUE,300000,CHF,Traditional aid,184842,commitment,2018-12-04T10:25:34.989Z,1,incoming,single,Z7H314300081,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,26480,Coordination and support services,single,,153,Myanmar,single,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Other,44,2023,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184849,0,,184850|184851|184852|184853|184854|184855,financial,2018-12-03T17:57:34.705Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: DRR, Disaster prevention and
preparedness , Multiyear 2018-2023,total award CHF 315,000 (Z7FH14800021)",,0.989,2018-11-01T00:00:00Z,Parked,Multiyear,TRUE,0,CHF,Traditional aid,,commitment,2018-12-04T10:31:40.250Z,1,incoming,shared,Z7FH14800021,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,Myanmar,single,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Other,42; 39; 44; 41; 43; 40,2021; 2018; 2023; 2020; 2022; 2019,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184855,60667,,,financial,2018-12-03T18:01:29.452Z,2018-10-31T00:00:00Z,,"SDC Direct Action: Rollout School Construction Guidelines: DRR, Disaster prevention andpreparedness , Multiyear 2018-2023,2023 portion,total award CHF 60,000 (Z7FH14800021)",,0.989,2018-11-01T00:00:00Z,Standard,Multiyear,TRUE,60000,CHF,Traditional aid,184849,commitment,2018-12-04T10:31:40.709Z,1,incoming,single,Z7FH14800021,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,26480,Coordination and support services,single,,153,Myanmar,single,,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Other,44,2023,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185531,5688282,2018,,financial,2020-04-11T02:25:32.786Z,2018-12-17T00:00:00Z,2018-12-17T00:00:00Z,"Access to drinking water, sanitation and hygiene measures in the region of Borkou and especially in the municipality of Faya-Largeau has been improved.",,0.879,2018-12-18T00:00:00Z,Parked,Multiyear,TRUE,5000000,EUR,Traditional aid,,commitment,2020-08-05T07:44:42.298Z,2,incoming,shared,2018.1866.5,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,4; 26480; 26481,Emergency Shelter and NFI; Coordination and support services; Other,shared; shared; shared,NULL; NULL; NULL,206,Somalia,single,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Other,44; 43; 42; 41; 40; 39,2023; 2022; 2021; 2020; 2019; 2018,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185926,11662536,2018,188148|205570,financial,2019-01-25T04:26:27.257Z,2018-12-28T00:00:00Z,2018-12-28T00:00:00Z,Contribute to quality basic education and resilience for the benefit of particularly disadvantaged communities in the states of Adamawa and Yobe (BMZ),earmarked,0.876,2018-12-28T00:00:00Z,Parked,Multiyear,TRUE,10216382,EUR,Traditional aid,,commitment,2021-03-16T13:11:03.532Z,2,incoming,shared,2018.1862.4,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Education,single,,163,Nigeria,single,,6544,KFW Development,single,Other,42; 43; 40; 44; 41,2021; 2022; 2019; 2023; 2020,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185933,12514221,2018,,financial,2019-12-17T04:26:17.135Z,2018-12-28T00:00:00Z,2018-12-28T00:00:00Z,"The ÜH project focuses on a contribution to short, medium and long-term resilience strengthening for the population of Gaza.",softly earmarked,0.879,2018-12-28T00:00:00Z,Standard,Multiyear,TRUE,11000000,EUR,Traditional aid,,commitment,2022-10-27T06:06:15.322Z,2,incoming,shared,2018.1850.9,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,4; 8; 26481; 26480,Emergency Shelter and NFI; Logistics; Other; Coordination and support services,shared; shared; shared; shared,NULL; NULL; NULL; NULL,171,occupied Palestinian territory,single,,2987,Deutsche Gesellschaft für Internationale Zusammenarbeit,single,Other,42; 44; 39; 43; 40; 41,2021; 2023; 2018; 2022; 2019; 2020,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187043,0,2019,264929|264928|264927|264926|264914|239298|239297|239296|239295|239294|239293|231716|231713|231707|231705|200906|204416|200907|200908|200905,financial,2020-02-12T14:11:14.029Z,2019-02-06T00:00:00Z,2019-02-06T00:00:00Z,Burkina Faso Transitional Interim Country Strategic Plan (2018),earmarked,0.876,2019-02-06T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2022-12-14T07:21:05.070Z,3,incoming,shared,2018.1846.7,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,40,2019,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,Burkina Faso,single,,3049,World Food Programme,single,Multilateral Organizations,40; 41; 42; 43; 44,2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187046,17294521,2018,,financial,2020-07-03T02:25:13.912Z,2019-02-06T00:00:00Z,2019-02-06T00:00:00Z,Building resilience of vulnerable households and communities in food insecure and shock-prone areas in Mauritania,earmarked,0.876,2019-02-06T00:00:00Z,Parked,Multiyear,TRUE,15150000,EUR,Traditional aid,,commitment,2020-10-12T06:18:22.913Z,3,incoming,shared,2018.1845.9,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,Mauritania,single,,3049,World Food Programme,single,Multilateral Organizations,39; 40; 41; 42; 43; 44,2018; 2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187050,0,2018,269128|269127|243074|243070|243069|243067|243066|232627|232626|221048|221047|220949|220930|220929|204137|208157|208156|208104|208155|208106|204140|204134|204135|208153|204138|204136|208154,financial,2020-10-09T02:25:15.689Z,2019-02-06T00:00:00Z,2019-02-06T00:00:00Z,"CHAD PRRO 200713: “Building Resilience, Protecting Livelihoods and Reducing Malnutrition of Refugees,Returnees and Vulnerable People“ CHAD DEV 200288",earmarked,0.876,2019-02-06T00:00:00Z,Parked,Multiyear|RRP Nigeria 2018,TRUE,0,EUR,Traditional aid,,commitment,2023-02-10T10:58:54.319Z,4,incoming,shared,2018.1847.5,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chad,single,,3049,World Food Programme,single,Multilateral Organizations,39; 40; 41; 42; 43; 44,2018; 2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187530,2206405,2018,255393|255392|255391|255388|255387|255386|255385|255384|255383|255381|255380|255379|216446|216472|216444|216445|216452|228759|255374|255373|255372|255371|255370|255369|216471|228730|228731|228762|228765|228766|228768|250343|250342|242669|242668|232557|232543|228770|228769|228761|228760|228758|228745|228744|228735|228733|228732|228729|228728|228727|228726|216470|216454|216453,financial,2019-03-28T04:25:30.449Z,2019-02-20T00:00:00Z,2019-02-20T00:00:00Z,Strengthening resilience in Niger through an integrated multi-sector and multi-partner safety net and disaster risk reduction  approach.,tightly earmarked,0.876,2019-02-20T00:00:00Z,Parked,Multiyear,TRUE,1932811,EUR,Traditional aid,,commitment,2022-07-18T14:05:59.869Z,2,incoming,shared,2018.1844.2,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,39,2018,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,Niger,single,,3049,World Food Programme,single,Multilateral Organizations,39; 40; 41; 42; 43; 44,2018; 2019; 2020; 2021; 2022; 2023,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,UN Agencies,International Actors,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187709,0,,187712|187710|187711|187713|187714,financial,2019-02-26T10:28:17.100Z,2019-01-31T00:00:00Z,,"S t a y , Deliver and Protect (SDP): Protecion, access and security,  Multiyear 2019-2023,total amount CHF 2,320,000 (7F-10164.01)",earmarked,0.998,2019-02-22T00:00:00Z,Parked,Multiyear,TRUE,0,CHF,Traditional aid,,commitment,2021-01-12T09:46:52.799Z,1,incoming,shared,7F-10164.01,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,40,2019,single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Afghanistan,single,,2178,Norwegian Refugee Council,single,NGOs,43; 40; 41; 42; 44,2022; 2019; 2020; 2021; 2023,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,International NGOs,International Actors,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
